time_s	mv
0.354	0.850408
0.355	0.872699
0.356	0.865146
0.357	0.940712
0.358	0.984306
0.359	0.882248
0.36	0.784708
0.361	0.778903
0.362	0.700268
0.363	0.490966
0.364	0.360701
0.365	0.46096
0.366	0.590164
0.367	0.484223
0.368	0.324583
0.369	0.406446
0.37	0.547385
0.371	0.493167
0.372	0.40931
0.373	0.530577
0.374	0.795155
0.375	1.009408
0.376	1.123483
0.377	1.161718
0.378	1.035498
0.379	0.766539
0.38	0.639777
0.381	0.748452
0.382	0.799192
0.383	0.601702
0.384	0.341594
0.385	0.248608
0.386	0.235834
0.387	0.119673
0.388	0.068124
0.389	0.284365
0.39	0.510503
0.391	0.483084
0.392	0.389284
0.393	0.481439
0.394	0.713023
0.395	0.917577
0.396	1.083668
0.397	1.238993
0.398	1.213588
0.399	0.934609
0.4	0.700384
0.401	0.697912
0.402	0.697744
0.403	0.510736
0.404	0.28954
0.405	0.219924
0.406	0.164411
0.407	-0.100015
0.408	-0.368737
0.409	-0.284582
0.41	0.039735
0.411	0.301167
0.412	0.495347
0.413	0.697618
0.414	0.808207
0.415	0.749776
0.416	0.681081
0.417	0.775859
0.418	0.887365
0.419	0.817255
0.42	0.692361
0.421	0.645499
0.422	0.549754
0.423	0.331937
0.424	0.159231
0.425	0.191001
0.426	0.31373
0.427	0.333313
0.428	0.358935
0.429	0.545256
0.43	0.679069
0.431	0.566939
0.432	0.409166
0.433	0.439277
0.434	0.596817
0.435	0.714049
0.436	0.797287
0.437	0.906803
0.438	0.893639
0.439	0.674408
0.44	0.514939
0.441	0.572584
0.442	0.606487
0.443	0.431175
0.444	0.21494
0.445	0.176283
0.446	0.218584
0.447	0.113837
0.448	-0.024701
0.449	0.065938
0.45	0.270226
0.451	0.340441
0.452	0.347152
0.453	0.455097
0.454	0.604169
0.455	0.64612
0.456	0.601145
0.457	0.56645
0.458	0.480129
0.459	0.319923
0.46	0.30335
0.461	0.492089
0.462	0.600338
0.463	0.451105
0.464	0.236876
0.465	0.195179
0.466	0.23605
0.467	0.124931
0.468	-0.030592
0.469	0.045713
0.47	0.255293
0.471	0.342441
0.472	0.352155
0.473	0.437418
0.474	0.557359
0.475	0.609129
0.476	0.662177
0.477	0.81181
0.478	0.899128
0.479	0.782903
0.48	0.659996
0.481	0.668497
0.482	0.611541
0.483	0.360992
0.484	0.112962
0.485	0.086059
0.486	0.168728
0.487	0.102776
0.488	-0.029779
0.489	0.032657
0.49	0.203719
0.491	0.258061
0.492	0.256219
0.493	0.343721
0.494	0.470185
0.495	0.528122
0.496	0.577483
0.497	0.6965
0.498	0.722131
0.499	0.5452
0.5	0.409964
0.501	0.469723
0.502	0.500085
0.503	0.334699
0.504	0.148439
0.505	0.150218
0.506	0.205187
0.507	0.018865
0.508	-0.307262
0.509	-0.386205
0.51	-0.190993
0.511	0.012455
0.512	0.159501
0.513	0.328407
0.514	0.483005
0.515	0.568234
0.516	0.69265
0.517	0.931012
0.518	1.041079
0.519	0.834602
0.52	0.575099
0.521	0.501753
0.522	0.449026
0.523	0.256693
0.524	0.079418
0.525	0.113617
0.526	0.239773
0.527	0.192013
0.528	0.047904
0.529	0.072896
0.53	0.191209
0.531	0.194625
0.532	0.158762
0.533	0.232084
0.534	0.358609
0.535	0.423308
0.536	0.478157
0.537	0.5991
0.538	0.625876
0.539	0.442824
0.54	0.287586
0.541	0.327691
0.542	0.360893
0.543	0.226262
0.544	0.085098
0.545	0.132573
0.546	0.238968
0.547	0.128863
0.548	-0.109606
0.549	-0.16678
0.55	-0.063128
0.551	0.009682
0.552	0.086439
0.553	0.25419
0.554	0.416805
0.555	0.442926
0.556	0.382618
0.557	0.354998
0.558	0.302557
0.559	0.171656
0.56	0.137993
0.561	0.273795
0.562	0.353687
0.563	0.240565
0.564	0.109639
0.565	0.153953
0.566	0.245473
0.567	0.126565
0.568	-0.095148
0.569	-0.116665
0.57	0.010986
0.571	0.073039
0.572	0.107544
0.573	0.223701
0.574	0.350147
0.575	0.378669
0.576	0.382736
0.577	0.473452
0.578	0.516927
0.579	0.379449
0.58	0.25172
0.581	0.286574
0.582	0.314083
0.583	0.199562
0.584	0.088064
0.585	0.133542
0.586	0.169643
0.587	-0.086938
0.588	-0.494813
0.589	-0.628646
0.59	-0.43668
0.591	-0.179669
0.592	0.049655
0.593	0.278533
0.594	0.421967
0.595	0.381708
0.596	0.241155
0.597	0.150143
0.598	0.071111
0.599	-0.04867
0.6	-0.045422
0.601	0.14162
0.602	0.279125
0.603	0.217152
0.604	0.12002
0.605	0.193957
0.606	0.346987
0.607	0.325447
0.608	0.165402
0.609	0.110039
0.61	0.152687
0.611	0.150629
0.612	0.151221
0.613	0.2346
