time_s	mv
0.0	-0.310016
0.001	-0.225753
0.002	-0.217754
0.003	-0.350082
0.004	-0.583287
0.005	-0.820574
0.006	-0.992588
0.007	-1.045249
0.008	-0.944783
0.009	-0.745427
0.01	-0.567545
0.011	-0.492927
0.012	-0.513642
0.013	-0.570004
0.014	-0.606928
0.015	-0.592942
0.016	-0.520332
0.017	-0.409895
0.018	-0.304186
0.019	-0.234062
0.02	-0.194646
0.021	-0.177121
0.022	-0.214611
0.023	-0.347638
0.024	-0.545916
0.025	-0.734637
0.026	-0.869163
0.027	-0.917062
0.028	-0.8502
0.029	-0.703986
0.03	-0.569959
0.031	-0.509411
0.032	-0.509237
0.033	-0.519407
0.034	-0.502788
0.035	-0.452649
0.036	-0.386254
0.037	-0.324514
0.038	-0.278396
0.039	-0.247982
0.04	-0.22432
0.041	-0.208724
0.042	-0.237316
0.043	-0.343998
0.044	-0.491842
0.045	-0.612235
0.046	-0.691064
0.047	-0.738438
0.048	-0.737225
0.049	-0.682129
0.05	-0.610112
0.051	-0.559558
0.052	-0.534729
0.053	-0.521991
0.054	-0.513236
0.055	-0.50372
0.056	-0.476849
0.057	-0.413913
0.058	-0.329239
0.059	-0.260855
0.06	-0.221335
0.061	-0.201679
0.062	-0.221262
0.063	-0.310512
0.064	-0.441253
0.065	-0.557801
0.066	-0.65262
0.067	-0.728674
0.068	-0.755561
0.069	-0.718762
0.07	-0.646663
0.071	-0.570304
0.072	-0.496741
0.073	-0.422354
0.074	-0.350087
0.075	-0.289703
0.076	-0.24867
0.077	-0.231006
0.078	-0.236491
0.079	-0.252549
0.08	-0.258194
0.081	-0.249241
0.082	-0.262288
0.083	-0.335698
0.084	-0.437966
0.085	-0.510958
0.086	-0.563591
0.087	-0.63244
0.088	-0.703433
0.089	-0.734603
0.09	-0.706418
0.091	-0.629628
0.092	-0.533513
0.093	-0.450889
0.094	-0.404765
0.095	-0.396118
0.096	-0.395709
0.097	-0.369498
0.098	-0.318979
0.099	-0.271834
0.1	-0.239544
0.101	-0.219921
0.102	-0.237574
0.103	-0.319666
0.104	-0.424774
0.105	-0.485479
0.106	-0.513066
0.107	-0.566408
0.108	-0.652717
0.109	-0.722115
0.11	-0.724667
0.111	-0.651155
0.112	-0.536102
0.113	-0.428433
0.114	-0.362831
0.115	-0.348625
0.116	-0.366828
0.117	-0.381458
0.118	-0.365968
0.119	-0.320156
0.12	-0.262033
0.121	-0.21978
0.122	-0.236502
0.123	-0.333377
0.124	-0.45243
0.125	-0.513496
0.126	-0.527819
0.127	-0.567599
0.128	-0.651672
0.129	-0.726334
0.13	-0.728678
0.131	-0.644029
0.132	-0.514827
0.133	-0.403711
0.134	-0.355616
0.135	-0.381087
0.136	-0.447542
0.137	-0.489155
0.138	-0.454472
0.139	-0.351574
0.14	-0.234792
0.141	-0.164228
0.142	-0.189425
0.143	-0.317441
0.144	-0.468721
0.145	-0.537986
0.146	-0.506462
0.147	-0.426546
0.148	-0.360081
0.149	-0.368185
0.15	-0.447994
0.151	-0.503936
0.152	-0.466656
0.153	-0.365511
0.154	-0.266769
0.155	-0.219503
0.156	-0.246761
0.157	-0.321328
0.158	-0.362427
0.159	-0.314958
0.16	-0.2151
0.161	-0.15036
0.162	-0.189863
0.163	-0.335185
0.164	-0.496643
0.165	-0.575557
0.166	-0.579209
0.167	-0.581037
0.168	-0.604836
0.169	-0.603038
0.17	-0.531348
0.171	-0.427507
0.172	-0.378495
0.173	-0.411673
0.174	-0.46138
0.175	-0.439866
0.176	-0.334177
0.177	-0.223712
0.178	-0.190601
0.179	-0.234174
0.18	-0.281761
0.181	-0.273449
0.182	-0.228366
0.183	-0.213315
0.184	-0.273187
0.185	-0.430099
0.186	-0.668714
0.187	-0.868455
0.188	-0.87352
0.189	-0.673475
0.19	-0.420166
0.191	-0.264888
0.192	-0.24787
0.193	-0.326268
0.194	-0.427559
0.195	-0.471078
0.196	-0.405596
0.197	-0.263998
0.198	-0.152678
0.199	-0.141298
0.2	-0.186383
0.201	-0.20554
0.202	-0.187203
0.203	-0.177421
0.204	-0.206682
0.205	-0.296165
0.206	-0.461396
0.207	-0.638309
0.208	-0.703092
0.209	-0.613723
0.21	-0.453595
0.211	-0.324593
0.212	-0.2645
0.213	-0.265595
0.214	-0.300072
0.215	-0.313646
0.216	-0.252829
0.217	-0.137616
0.218	-0.066715
0.219	-0.101053
0.22	-0.186865
0.221	-0.237185
