time_s	mv
0.0	0.057336
0.001	0.063452
0.002	0.06845
0.003	0.07128
0.004	0.071805
0.005	0.070579
0.006	0.06832
0.007	0.065565
0.008	0.062625
0.009	0.059392
0.01	0.055019
0.011	0.048252
0.012	0.038463
0.013	0.026508
0.014	0.014893
0.015	0.007233
0.016	0.006759
0.017	0.014133
0.018	0.026466
0.019	0.038906
0.02	0.047681
0.021	0.052215
0.022	0.054809
0.023	0.058342
0.024	0.064172
0.025	0.071869
0.026	0.080135
0.027	0.087517
0.028	0.092517
0.029	0.093487
0.03	0.088792
0.031	0.077572
0.032	0.060634
0.033	0.040668
0.034	0.021772
0.035	0.008404
0.036	0.003332
0.037	0.005916
0.038	0.013163
0.039	0.022509
0.04	0.0329
0.041	0.0436
0.042	0.053006
0.043	0.059242
0.044	0.061789
0.045	0.061799
0.046	0.060645
0.047	0.058815
0.048	0.05622
0.049	0.052533
0.05	0.047004
0.051	0.038788
0.052	0.027876
0.053	0.015744
0.054	0.005517
0.055	0.0013
0.056	0.005769
0.057	0.017496
0.058	0.031349
0.059	0.041976
0.06	0.046972
0.061	0.047365
0.062	0.045755
0.063	0.043881
0.064	0.041385
0.065	0.0364
0.066	0.02755
0.067	0.016407
0.068	0.009107
0.069	0.016262
0.07	0.050507
0.071	0.12071
0.072	0.222765
0.073	0.332026
0.074	0.408605
0.075	0.419704
0.076	0.362622
0.077	0.266529
0.078	0.172021
0.079	0.107489
0.08	0.079398
0.081	0.077825
0.082	0.087496
0.083	0.095924
0.084	0.096782
0.085	0.089498
0.086	0.076797
0.087	0.062298
0.088	0.048949
0.089	0.037799
0.09	0.027447
0.091	0.015097
0.092	-0.000824
0.093	-0.018161
0.094	-0.031488
0.095	-0.036308
0.096	-0.032901
0.097	-0.025728
0.098	-0.019685
0.099	-0.016986
0.1	-0.016564
0.101	-0.015601
0.102	-0.011768
0.103	-0.004863
0.104	0.002794
0.105	0.007687
0.106	0.007827
0.107	0.00426
0.108	-0.000942
0.109	-0.007657
0.11	-0.017668
0.111	-0.032105
0.112	-0.049514
0.113	-0.065699
0.114	-0.075335
0.115	-0.075022
0.116	-0.065537
0.117	-0.051236
0.118	-0.037569
0.119	-0.028834
0.12	-0.02694
0.121	-0.031168
0.122	-0.038952
