time_s	mv
0.0	-0.236475
0.001	0.157934
0.002	0.418187
0.003	0.461226
0.004	0.289504
0.005	-0.037184
0.006	-0.44281
0.007	-0.863064
0.008	-1.252962
0.009	-1.583506
0.01	-1.836597
0.011	-2.001394
0.012	-2.076222
0.013	-2.073113
0.014	-2.014618
0.015	-1.918587
0.016	-1.7803
0.017	-1.575227
0.018	-1.292924
0.019	-0.966695
0.02	-0.660829
0.021	-0.435897
0.022	-0.32923
0.023	-0.351248
0.024	-0.486378
0.025	-0.697087
0.026	-0.932249
0.027	-1.140317
0.028	-1.286163
0.029	-1.363492
0.03	-1.391423
0.031	-1.397295
0.032	-1.399942
0.033	-1.404364
0.034	-1.406702
0.035	-1.399795
0.036	-1.380045
0.037	-1.363128
0.038	-1.391372
0.039	-1.503092
0.04	-1.686132
0.041	-1.877529
0.042	-2.011421
0.043	-2.059357
0.044	-2.03458
0.045	-1.97466
0.046	-1.923539
0.047	-1.918609
0.048	-1.978488
0.049	-2.093129
0.05	-2.225657
0.051	-2.328746
0.052	-2.364137
0.053	-2.314197
0.054	-2.184378
0.055	-1.999588
0.056	-1.800505
0.057	-1.646214
0.058	-1.607962
0.059	-1.725754
0.06	-1.959192
0.061	-2.203684
0.062	-2.361582
0.063	-2.393495
0.064	-2.31922
0.065	-2.191195
0.066	-2.066981
0.067	-1.990135
0.068	-1.980097
0.069	-2.03018
0.07	-2.112101
0.071	-2.185847
0.072	-2.213186
0.073	-2.170638
0.074	-2.057687
0.075	-1.894587
0.076	-1.699857
0.077	-1.466816
0.078	-1.179519
0.079	-0.848026
0.08	-0.514403
0.081	-0.237106
0.082	-0.07231
0.083	-0.050891
0.084	-0.165361
0.085	-0.379501
0.086	-0.650821
0.087	-0.948084
0.088	-1.2516
0.089	-1.540733
0.09	-1.78591
0.091	-1.954818
0.092	-2.027651
0.093	-2.008506
0.094	-1.920935
0.095	-1.786373
0.096	-1.598912
0.097	-1.32345
0.098	-0.934081
0.099	-0.456697
0.1	0.030324
0.101	0.426358
0.102	0.64515
0.103	0.647949
0.104	0.455154
0.105	0.130885
0.106	-0.244569
0.107	-0.601354
0.108	-0.897336
0.109	-1.11946
0.11	-1.272735
0.111	-1.367953
0.112	-1.414213
0.113	-1.417776
0.114	-1.385537
0.115	-1.325572
0.116	-1.242036
0.117	-1.139069
0.118	-1.037391
