time_s	mv
0.0	-0.731699
0.001	-0.536445
0.002	-0.151587
0.003	0.300353
0.004	0.649251
0.005	0.747094
0.006	0.519528
0.007	-0.017571
0.008	-0.763992
0.009	-1.557383
0.01	-2.210648
0.011	-2.568184
0.012	-2.574394
0.013	-2.304434
0.014	-1.91718
0.015	-1.567345
0.016	-1.338076
0.017	-1.219356
0.018	-1.14752
0.019	-1.126709
0.02	-1.385395
0.021	-2.367095
0.022	-4.345377
0.023	-6.91628
0.024	-9.054868
0.025	-9.826687
0.026	-8.958014
0.027	-6.758497
0.028	-3.739317
0.029	-0.43519
0.03	2.509676
0.031	4.339211
0.032	4.553963
0.033	3.391451
0.034	1.745553
0.035	0.451045
0.036	-0.246601
0.037	-0.549661
0.038	-0.698363
0.039	-0.764046
0.04	-0.684389
0.041	-0.385022
0.042	0.11972
0.043	0.696119
0.044	1.142913
0.045	1.278994
0.046	1.007722
0.047	0.343455
0.048	-0.58745
0.049	-1.568167
0.05	-2.348957
0.051	-2.74052
0.052	-2.702282
0.053	-2.357341
0.054	-1.905311
0.055	-1.507062
0.056	-1.232206
0.057	-1.067737
0.058	-0.965388
0.059	-0.950396
0.06	-1.259632
0.061	-2.313718
0.062	-4.329149
0.063	-6.849397
0.064	-8.853544
0.065	-9.469085
0.066	-8.495701
0.067	-6.28443
0.068	-3.346886
0.069	-0.194487
0.07	2.571756
0.071	4.270294
0.072	4.487596
0.073	3.481935
0.074	2.036115
0.075	0.811787
0.076	-0.005458
0.077	-0.502491
0.078	-0.763972
0.079	-0.816752
0.08	-0.666558
0.081	-0.317371
0.082	0.205748
0.083	0.81396
0.084	1.332931
0.085	1.553404
0.086	1.334677
0.087	0.678241
0.088	-0.274202
0.089	-1.29726
0.09	-2.155392
0.091	-2.669225
0.092	-2.766211
0.093	-2.506251
0.094	-2.055266
0.095	-1.601598
0.096	-1.264077
0.097	-1.050541
0.098	-0.902485
0.099	-0.832493
0.1	-1.082079
0.101	-2.092379
0.102	-4.101395
0.103	-6.656445
0.104	-8.714768
0.105	-9.368205
0.106	-8.389793
0.107	-6.129152
0.108	-3.121003
0.109	0.087913
0.11	2.856128
0.111	4.458683
0.112	4.461782
0.113	3.176532
0.114	1.522111
0.115	0.297913
0.116	-0.293637
0.117	-0.471068
0.118	-0.482922
0.119	-0.423949
0.12	-0.267455
0.121	0.037847
0.122	0.494292
0.123	1.014845
0.124	1.432022
0.125	1.568858
0.126	1.322842
0.127	0.707596
0.128	-0.154791
0.129	-1.076151
0.13	-1.858839
0.131	-2.350918
0.132	-2.492392
0.133	-2.33178
0.134	-1.996328
0.135	-1.632381
0.136	-1.346495
0.137	-1.171254
0.138	-1.066889
0.139	-0.952525
0.14	-0.749832
0.141	-0.416679
0.142	0.033159
0.143	0.513879
0.144	0.881086
0.145	0.994621
0.146	0.784008
0.147	0.272785
0.148	-0.435055
0.149	-1.189385
0.15	-1.832547
0.151	-2.239413
0.152	-2.358782
0.153	-2.230211
0.154	-1.956626
0.155	-1.654077
0.156	-1.407511
0.157	-1.244578
0.158	-1.133628
0.159	-1.007184
0.16	-0.799934
0.161	-0.481186
0.162	-0.074844
0.163	0.334143
0.164	0.625946
0.165	0.700418
