time_s,mv
0.339,-0.007327
0.34,-0.010683
0.341,-0.016031
0.342,-0.021296
0.343,-0.02522
0.344,-0.027571
0.345,-0.028793
0.346,-0.029536
0.347,-0.030232
0.348,-0.030767
0.349,-0.030515
0.35,-0.028853
0.351,-0.025795
0.352,-0.022174
0.353,-0.019199
0.354,-0.0177
0.355,-0.017615
0.356,-0.018202
0.357,-0.018838
0.358,-0.0196
0.359,-0.02111
0.36,-0.023834
0.361,-0.027468
0.362,-0.030968
0.363,-0.033198
0.364,-0.033661
0.365,-0.032756
0.366,-0.031423
0.367,-0.030492
0.368,-0.030243
0.369,-0.030384
0.37,-0.030214
0.371,-0.028717
0.372,-0.024518
0.373,-0.015957
0.374,-0.002
0.375,0.016028
0.376,0.034033
0.377,0.047907
0.378,0.057224
0.379,0.06549
0.38,0.076153
0.381,0.08819
0.382,0.095207
0.383,0.089287
0.384,0.067272
0.385,0.034249
0.386,0.000856
0.387,-0.023123
0.388,-0.033423
0.389,-0.031553
0.39,-0.022151
0.391,-0.010168
0.392,0.000718
0.393,0.008477
0.394,0.012484
0.395,0.013224
0.396,0.011975
0.397,0.010182
0.398,0.008671
0.399,0.007376
0.4,0.005835
0.401,0.003853
0.402,0.001819
0.403,0.000529
0.404,0.000609
0.405,0.002
0.406,0.003963
0.407,0.005545
0.408,0.006086
0.409,0.005484
0.41,0.004109
0.411,0.002458
0.412,0.000816
0.413,-0.000919
0.414,-0.003133
0.415,-0.006084
0.416,-0.009619
0.417,-0.013344
0.418,-0.016962
0.419,-0.020396
0.42,-0.023631
0.421,-0.02652
0.422,-0.028767
0.423,-0.030059
0.424,-0.030162
0.425,-0.02901
0.426,-0.026862
0.427,-0.024372
0.428,-0.022322
0.429,-0.021135
0.43,-0.020639
0.431,-0.020326
0.432,-0.019881
0.433,-0.019491
0.434,-0.019677
0.435,-0.020837
0.436,-0.022914
0.437,-0.025396
0.438,-0.027613
0.439,-0.029156
0.44,-0.030047
0.441,-0.030543
0.442,-0.030855
0.443,-0.03103
0.444,-0.031175
0.445,-0.031845
0.446,-0.033848
0.447,-0.037298
0.448,-0.040817
0.449,-0.041917
0.45,-0.038638
0.451,-0.03127
0.452,-0.022557
0.453,-0.016059
0.454,-0.014038
0.455,-0.01646
0.456,-0.02161
0.457,-0.027455
0.458,-0.032538
0.459,-0.0361
0.46,-0.037918
0.461,-0.038236
0.462,-0.037712
0.463,-0.037093
0.464,-0.036675
0.465,-0.036134
0.466,-0.035005
0.467,-0.033279
0.468,-0.031503
0.469,-0.030366
0.47,-0.03014
0.471,-0.030506
0.472,-0.03093
0.473,-0.03114
0.474,-0.031241
0.475,-0.031531
0.476,-0.032293
0.477,-0.033576
0.478,-0.035033
0.479,-0.036033
0.48,-0.036155
0.481,-0.035667
0.482,-0.035385
0.483,-0.035992
0.484,-0.037504
0.485,-0.039265
0.486,-0.040212
0.487,-0.038906
0.488,-0.033371
0.489,-0.021736
0.49,-0.004154
0.491,0.015799
0.492,0.032976
0.493,0.044906
0.494,0.053776
0.495,0.06366
0.496,0.075728
0.497,0.085592
0.498,0.085239
0.499,0.069078
0.5,0.039256
0.501,0.005022
0.502,-0.023001
0.503,-0.038456
0.504,-0.041074
0.505,-0.034743
0.506,-0.02436
0.507,-0.013856
0.508,-0.005743
0.509,-0.001192
0.51,-6e-06
0.511,-0.000828
0.512,-0.001967
0.513,-0.002393
0.514,-0.002177
0.515,-0.002098
0.516,-0.002767
0.517,-0.004067
0.518,-0.005337
0.519,-0.005918
0.52,-0.005523
0.521,-0.004385
0.522,-0.003165
0.523,-0.002589
0.524,-0.003048
0.525,-0.00442
0.526,-0.006228
0.527,-0.008044
0.528,-0.009821
0.529,-0.011814
0.53,-0.014211
0.531,-0.016854
0.532,-0.019294
0.533,-0.021185
0.534,-0.022629
0.535,-0.024098
0.536,-0.025954
0.537,-0.028026
0.538,-0.029689
0.539,-0.030359
0.54,-0.029872
0.541,-0.02854
0.542,-0.027023
0.543,-0.02601
0.544,-0.025786
0.545,-0.026029
0.546,-0.02606
0.547,-0.025406
0.548,-0.024228
0.549,-0.023248
0.55,-0.023152
0.551,-0.023953
0.552,-0.024979
0.553,-0.025546
0.554,-0.025555
0.555,-0.025417
0.556,-0.02547
0.557,-0.025667
0.558,-0.025922
0.559,-0.02657
0.56,-0.028309
0.561,-0.031619
0.562,-0.036128
0.563,-0.040252
0.564,-0.041606
0.565,-0.038487
0.566,-0.031461
0.567,-0.023373
0.568,-0.017602
0.569,-0.016097
0.57,-0.018638
0.571,-0.023515
0.572,-0.02867
0.573,-0.032525
0.574,-0.034403
0.575,-0.034535
0.576,-0.033736
0.577,-0.032957
0.578,-0.03278
0.579,-0.033046
0.58,-0.033045
0.581,-0.032208
0.582,-0.030721
0.583,-0.029441
0.584,-0.029123
0.585,-0.029801
0.586,-0.030887
0.587,-0.031717
0.588,-0.032081
0.589,-0.032359
0.59,-0.033121
0.591,-0.034542
0.592,-0.036191
0.593,-0.037353
0.594,-0.037567
0.595,-0.036921
0.596,-0.03593
0.597,-0.035178
0.598,-0.035021
0.599,-0.035394
0.6,-0.035738
0.601,-0.035109
0.602,-0.032241
0.603,-0.025495
0.604,-0.013506
0.605,0.003094
0.606,0.020736
0.607,0.035135
0.608,0.045234
0.609,0.054174
0.61,0.065676
0.611,0.079324
0.612,0.089019
0.613,0.086323
0.614,0.066889
0.615,0.034706
0.616,9.8e-05
0.617,-0.026602
0.618,-0.040201
0.619,-0.041451
0.62,-0.034576
0.621,-0.024341
0.622,-0.014391
0.623,-0.006821
0.624,-0.002292
0.625,-0.000304
0.626,0.000397
0.627,0.001089
0.628,0.002247
0.629,0.003378
0.63,0.003676
0.631,0.002781
0.632,0.001069
0.633,-0.000582
0.634,-0.001332
