time_s	mv
0.0	0.001369
0.001	0.009498
0.002	0.014683
0.003	0.016273
0.004	0.01566
0.005	0.014277
0.006	0.012408
0.007	0.009876
0.008	0.007164
0.009	0.005631
0.01	0.006721
0.011	0.010878
0.012	0.017194
0.013	0.023662
0.014	0.027345
0.015	0.025436
0.016	0.017886
0.017	0.008803
0.018	0.003566
0.019	0.004548
0.02	0.010277
0.021	0.017278
0.022	0.022189
0.023	0.023462
0.024	0.021648
0.025	0.018702
0.026	0.018123
0.027	0.025351
0.028	0.045573
0.029	0.077778
0.03	0.10947
0.031	0.120784
0.032	0.100441
0.033	0.059587
0.034	0.025495
0.035	0.019003
0.036	0.039527
0.037	0.070543
0.038	0.094674
0.039	0.103227
0.04	0.096669
0.041	0.080528
0.042	0.061493
0.043	0.045205
0.044	0.034741
0.045	0.029938
0.046	0.028301
0.047	0.026824
0.048	0.023606
0.049	0.018687
0.05	0.013824
0.051	0.011436
0.052	0.013028
0.053	0.017516
0.054	0.021031
0.055	0.019403
0.056	0.012031
0.057	0.003364
0.058	-0.000753
0.059	0.00162
0.06	0.007526
0.061	0.012569
0.062	0.014559
0.063	0.014233
0.064	0.013383
0.065	0.013167
0.066	0.013923
0.067	0.015467
0.068	0.017172
0.069	0.018197
0.07	0.01814
0.071	0.01752
0.072	0.017229
0.073	0.017412
0.074	0.017131
0.075	0.015134
0.076	0.011368
0.077	0.007879
0.078	0.007102
0.079	0.009181
0.08	0.012089
0.081	0.013788
0.082	0.013487
0.083	0.011639
0.084	0.009604
0.085	0.008965
0.086	0.01016
0.087	0.011697
0.088	0.011362
0.089	0.008314
0.09	0.004048
0.091	0.001855
0.092	0.005183
0.093	0.015365
0.094	0.029899
0.095	0.043039
0.096	0.0496
0.097	0.04894
0.098	0.04432
0.099	0.038911
0.1	0.033831
0.101	0.028912
0.102	0.023605
0.103	0.017489
0.104	0.010848
0.105	0.004654
0.106	-0.000266
0.107	-0.003768
0.108	-0.006168
0.109	-0.00776
0.11	-0.008313
0.111	-0.006923
0.112	-0.002833
0.113	0.003121
0.114	0.008052
0.115	0.008706
0.116	0.004519
0.117	-0.001145
0.118	-0.004027
0.119	-0.002855
0.12	0.000691
0.121	0.004253
0.122	0.005895
0.123	0.004808
0.124	0.002301
0.125	0.001167
0.126	0.00314
0.127	0.007118
0.128	0.009897
0.129	0.008633
0.13	0.00317
0.131	-0.003637
0.132	-0.00772
0.133	-0.005433
0.134	0.006282
0.135	0.029568
0.136	0.063043
0.137	0.097642
0.138	0.11662
0.139	0.106303
0.14	0.071287
0.141	0.034959
0.142	0.020662
0.143	0.033479
0.144	0.060147
0.145	0.082714
0.146	0.090907
0.147	0.084745
0.148	0.069803
0.149	0.05203
0.15	0.035793
0.151	0.023911
0.152	0.017527
0.153	0.015617
0.154	0.014964
0.155	0.011563
0.156	0.0038
0.157	-0.005271
0.158	-0.010339
0.159	-0.008666
0.16	-0.00176
0.161	0.006246
0.162	0.011053
0.163	0.010713
0.164	0.006596
0.165	0.001887
0.166	-0.000686
0.167	-0.000315
0.168	0.001672
0.169	0.003164
0.17	0.003247
0.171	0.002782
0.172	0.003245
0.173	0.005306
0.174	0.008003
0.175	0.008958
0.176	0.006405
0.177	0.001506
0.178	-0.002506
0.179	-0.003446
0.18	-0.001507
0.181	0.001481
0.182	0.003401
0.183	0.00335
0.184	0.002234
0.185	0.001861
0.186	0.003305
0.187	0.00576
0.188	0.007111
0.189	0.005909
0.19	0.00253
0.191	-0.001498
0.192	-0.00456
0.193	-0.005629
0.194	-0.005095
0.195	-0.005065
0.196	-0.00741
0.197	-0.011167
0.198	-0.013143
0.199	-0.010894
0.2	-0.003984
0.201	0.006456
0.202	0.017961
0.203	0.02704
0.204	0.030479
0.205	0.02735
0.206	0.019856
0.207	0.011764
0.208	0.005895
0.209	0.002791
0.21	0.001056
0.211	-0.001012
0.212	-0.003453
0.213	-0.004632
0.214	-0.003606
0.215	-0.001754
0.216	-0.001218
0.217	-0.002203
0.218	-0.003161
0.219	-0.003323
0.22	-0.003574
0.221	-0.005238
0.222	-0.008959
0.223	-0.01426
0.224	-0.0194
0.225	-0.021811
0.226	-0.019627
0.227	-0.013431
0.228	-0.006281
0.229	-0.001797
0.23	-0.002069
0.231	-0.006277
0.232	-0.010771
0.233	-0.011656
0.234	-0.00822
0.235	-0.003617
0.236	-0.001712
0.237	-0.003417
0.238	-0.006834
0.239	-0.009963
0.24	-0.011109
0.241	-0.006968
0.242	0.007516
0.243	0.034838
0.244	0.068218
0.245	0.09039
0.246	0.084794
0.247	0.052541
0.248	0.01619
0.249	0.002099
0.25	0.018666
0.251	0.052702
0.252	0.08369
0.253	0.098476
0.254	0.095035
0.255	0.077889
0.256	0.053451
0.257	0.028636
0.258	0.009393
0.259	-0.001799
0.26	-0.006177
0.261	-0.006684
0.262	-0.006256
0.263	-0.006845
0.264	-0.008685
0.265	-0.01036
0.266	-0.010222
0.267	-0.008169
0.268	-0.006093
0.269	-0.006526
0.27	-0.010389
0.271	-0.015662
0.272	-0.018597
0.273	-0.016589
0.274	-0.01011
0.275	-0.002387
0.276	0.003148
0.277	0.005625
0.278	0.006405
0.279	0.006552
0.28	0.006019
0.281	0.004447
0.282	0.001562
