animal_id,recording_date,study_guess,n_beats,heart_rate_bpm,rr_mean_ms,rr_std_ms,r_amplitude_mv,qrs_duration_ms,j_wave_amplitude_mv,t_wave_amplitude_mv,qt_ms,qtc_ms,qtc_formula,cluster_k2,cluster_k5
101,2024-11-01,acute,184,367.4944775420042,163.26775956284152,114.28992148324001,0.8432533965968764,6.0,0.32273214467792266,0.26778814766323933,46.0,36.00042394377416,Mitchell,1,0
102,2024-11-01,acute,128,437.3027259684361,137.20472440944883,300.24934977614004,5.2141797121278834,5.0,3.6799421179438765,3.4626659222461544,43.0,36.7099609623791,Mitchell,0,2
105,2024-11-01,acute,289,448.66801682505064,133.72916666666666,66.79238400428308,0.3128012927400621,6.0,0.17409212730106713,0.05597230583050493,40.0,34.58971010093611,Mitchell,1,0
106,2024-11-01,acute,246,493.0238797960826,121.69795918367348,32.19775275858931,0.9269002628791324,6.0,0.13504741489389452,0.14713333551674215,45.0,40.79161181311397,Mitchell,1,4
108,2024-11-01,acute,228,454.86424205991386,131.90748898678413,15.635654918450346,0.5181510547955167,6.0,0.08404975319813533,0.009428741308196662,40.0,34.82773768363042,Mitchell,1,0
115,2024-11-13,acute,295,329.3379634815728,182.18367346938774,718.428223907299,2.2639029985271066,7.0,0.9797569507889982,1.4528799095962133,76.0,56.30654309328482,Mitchell,0,3
116,2024-11-14,acute,105,530.5220200646149,113.09615384615384,1.2503920221719576,0.24959819888028936,6.0,0.03764774963831542,0.047726669226345754,40.0,37.612835400152605,Mitchell,1,4
117,2024-11-14,acute,131,386.7512891709639,155.13846153846154,142.78697494753874,0.8069042739108532,9.0,0.2530484857567679,0.23606627988897871,44.0,35.32587568706982,Mitchell,1,0
119,2024-11-01,acute,250,583.0243902439024,102.91164658634538,21.733174454611895,0.24652673275320203,6.0,0.04540277391213501,0.0469316203188829,46.0,45.34459926966859,Mitchell,1,4
122,2024-11-14,acute,132,551.656372824256,108.76335877862596,5.0365312560694635,0.404847624460464,6.0,0.088798282862953,0.009052305840430881,40.0,38.35470845756336,Mitchell,1,4
123,2024-11-14,acute,308,507.5638588079689,118.21172638436482,15.365188328469463,0.26702130925815626,6.0,0.09374804540630635,0.025424915749935967,40.0,36.789993523890665,Mitchell,1,4
124,2024-11-13,acute,130,489.0686212561607,122.68217054263566,18.025149312888868,0.24357701487105318,6.0,0.03459246819534425,0.013047999384008616,40.0,36.113473801566485,Mitchell,1,4
125,2024-11-14,acute,94,500.3586800573888,119.91397849462365,18.141746185296125,0.19247766140152975,5.0,0.05115969788868608,-0.0021466273996650384,40.0,36.527931962901626,Mitchell,1,4
126,2024-11-15,acute,162,326.35135135135135,183.85093167701862,183.4188243876608,0.49362027619164073,10.0,0.24868152772521407,0.1880597917723936,45.0,33.187886507140085,Mitchell,1,0
127,2024-11-15,acute,115,559.7839430395286,107.1842105263158,19.834967687811478,0.15403463469414572,5.0,0.028642952413398582,0.0310334424031429,40.0,38.636215930636155,Mitchell,1,4
128,2024-11-15,acute,144,553.5483870967743,108.39160839160839,1.1385372691170552,0.3938666763512451,6.0,0.06294348467147996,0.000634041628386746,40.0,38.42042467566001,Mitchell,1,4
129,2024-11-15,acute,130,534.8628291064888,112.17829457364341,20.666416602638165,0.28494101152256995,6.0,0.08203052497689557,0.057529684547107406,40.0,37.766398790688314,Mitchell,1,4
