animal_id,old_inverted,new_inverted,old_hr_bpm,new_hr_bpm,changed,pos_ok,inv_ok,pos_hr,inv_hr,pos_amp_mv,inv_amp_mv,skewness
101,False,True,400.3,475.9,True,True,True,400.3,475.9,0.4863,0.4998,-2.89
102,False,False,366.9,366.9,False,True,True,366.9,324.1,1.4592,1.393,0.473
105,False,False,450.9,450.9,False,True,False,450.9,49.7,0.2788,0.3145,-4.063
106,False,False,464.9,464.9,False,True,False,464.9,122.2,0.806,0.4709,-2.917
107,False,False,303.1,303.1,False,True,False,303.1,258.0,1.8486,2.2005,-0.188
108,False,False,460.9,460.9,False,True,False,460.9,56.4,0.4958,0.0926,4.099
109,False,False,170.8,170.8,False,False,False,170.8,151.3,0.6637,0.6779,0.326
111,False,True,283.6,269.0,True,False,False,283.6,269.0,1.2873,1.9529,-0.701
112,True,False,313.8,267.4,True,False,True,267.4,313.8,6.8324,1.9467,1.33
113,True,True,213.0,213.0,False,False,False,71.7,213.0,0.3137,0.3668,-0.262
114,True,True,205.4,205.4,False,False,False,138.9,205.4,0.2684,0.3217,-0.044
115,False,False,454.9,454.9,False,True,False,454.9,257.7,1.6819,1.4666,0.167
116,False,False,530.5,530.5,False,True,False,530.5,40.5,0.2422,0.1164,-0.343
117,False,False,336.2,336.2,False,True,False,336.2,136.3,0.5089,1.0082,1.361
119,False,False,578.3,578.3,False,True,False,578.3,62.8,0.2243,0.171,-5.615
120,True,True,93.1,93.1,False,False,False,56.2,93.1,0.6719,0.6753,-0.094
121,False,False,124.8,124.8,False,False,False,124.8,20.5,0.4496,0.4333,0.23
122,False,False,551.7,551.7,False,True,False,551.7,59.2,0.4,0.1891,2.2
123,False,False,502.6,502.6,False,True,False,502.6,41.8,0.2543,0.16,-1.149
124,False,False,496.7,496.7,False,True,False,496.7,83.7,0.2181,0.1131,2.895
125,False,False,500.4,500.4,False,True,False,500.4,293.8,0.1795,0.0702,2.272
126,False,False,452.4,452.4,False,True,False,452.4,181.5,0.1032,0.6751,2.272
127,False,False,559.7,559.7,False,True,False,559.7,131.9,0.1424,0.1133,-0.587
128,False,False,553.6,553.6,False,True,False,553.6,45.1,0.3767,0.1315,3.186
129,False,False,524.6,524.6,False,True,False,524.6,57.2,0.2848,0.1577,0.577
130,False,False,516.8,516.8,False,True,False,516.8,83.7,0.1758,0.1268,0.734
131,False,False,462.0,462.0,False,True,False,462.0,134.7,0.4831,0.5986,-2.272
132,False,False,565.7,565.7,False,True,False,565.7,64.8,0.3323,0.0891,3.107
133,False,False,557.3,557.3,False,True,False,557.3,63.6,0.3656,0.1261,2.424
134,False,True,597.8,379.5,True,True,True,597.8,379.5,0.3887,1.1066,0.187
135,False,False,515.0,515.0,False,True,False,515.0,109.5,0.3782,0.1383,2.339
136,False,False,595.7,595.7,False,True,False,595.7,205.6,0.3713,0.1881,1.393
137,False,False,569.9,569.9,False,True,False,569.9,104.9,0.3178,0.0983,3.109
138,False,False,530.6,530.6,False,True,True,530.6,516.1,0.1198,0.0858,0.811
139,False,False,685.6,685.6,False,True,False,685.6,128.0,0.3175,0.0895,3.137
140,True,True,574.4,574.4,False,False,True,281.0,574.4,0.0712,0.2079,-2.263
141,False,False,489.6,489.6,False,True,False,489.6,79.3,0.358,0.1391,0.368
142,False,False,517.0,517.0,False,True,False,517.0,193.0,0.5119,0.1122,3.716
143,False,False,553.6,553.6,False,True,True,553.6,350.8,0.2391,0.0929,2.387
144,False,False,583.5,583.5,False,True,False,583.5,60.0,0.2924,0.1541,2.007
145,False,False,442.7,442.7,False,True,True,442.7,452.7,0.3508,0.1647,2.269
146,False,False,405.7,405.7,False,True,False,405.7,22.8,0.5173,0.1025,3.927
147,False,False,530.4,530.4,False,True,True,530.4,495.2,0.1462,0.1143,0.388
148,False,False,422.0,422.0,False,True,False,422.0,97.4,0.4121,0.1057,3.311
149,False,False,384.8,384.8,False,True,False,384.8,154.7,0.476,0.0971,3.976
150,False,False,476.5,476.5,False,True,False,476.5,59.7,0.2375,0.0575,3.756
151,False,False,343.6,343.6,False,True,False,343.6,70.0,0.1039,0.1062,-3.613
152,False,False,570.3,570.3,False,True,False,570.3,188.5,0.3129,0.1375,2.376
153,False,False,489.9,489.9,False,True,False,489.9,41.9,0.2787,0.1163,2.322
154,False,False,562.3,562.3,False,True,False,562.3,61.5,0.3448,0.1345,2.2
155,False,False,537.1,537.1,False,True,False,537.1,20.5,0.333,0.1442,1.865
156,False,False,459.8,459.8,False,True,True,459.8,365.7,0.1859,0.0688,2.492
157,False,False,582.4,582.4,False,True,False,582.4,71.5,0.2846,0.1306,1.907
158,False,False,520.6,520.6,False,True,False,520.6,33.7,0.2729,0.0901,2.59
159,False,False,506.7,506.7,False,True,False,506.7,116.4,0.2828,0.105,-5.381
160,False,False,542.1,542.1,False,True,False,542.1,213.0,0.2072,0.1165,-0.843
201,False,False,499.3,499.3,False,True,False,499.3,87.9,0.4056,0.1253,2.843
202,False,False,541.8,541.8,False,True,False,541.8,105.7,0.456,0.1855,2.036
203,False,False,541.9,541.9,False,True,False,541.9,61.2,0.2506,0.1014,2.176
204,False,False,567.4,567.4,False,True,True,567.4,403.8,0.1399,0.0754,1.104
205,False,False,466.5,466.5,False,True,False,466.5,87.4,0.2415,0.0756,3.258
206,False,False,531.3,531.3,False,True,False,531.3,128.9,0.398,0.1106,3.197
207,False,False,494.3,494.3,False,True,False,494.3,108.0,0.3017,0.1413,1.421
208,False,False,512.2,512.2,False,True,True,512.2,383.1,0.2706,0.0824,2.97
209,False,False,487.7,487.7,False,True,False,487.7,67.8,0.3107,0.1061,3.235
210,False,False,605.3,605.3,False,True,True,605.3,602.1,0.1769,0.0917,0.397
211,False,False,492.4,492.4,False,True,False,492.4,117.0,0.6509,0.1479,2.855
212,False,False,517.7,517.7,False,True,False,517.7,94.4,0.3014,0.0935,-1.132
213,False,False,604.9,604.9,False,True,False,604.9,117.2,0.4087,0.1306,2.547
214,False,False,506.9,506.9,False,True,True,506.9,383.5,0.2222,0.1001,1.672
215,False,False,535.4,535.4,False,True,False,535.4,35.0,0.1802,0.0703,2.2
216,False,False,515.6,515.6,False,True,False,515.6,42.8,0.2436,0.075,3.101
217,False,False,626.3,626.3,False,True,False,626.3,60.1,0.3088,0.0919,2.634
218,False,False,529.1,529.1,False,True,False,529.1,88.4,0.2762,0.0778,2.767
219,False,False,558.9,558.9,False,True,False,558.9,27.6,0.4043,0.109,2.976
220,False,False,525.8,525.8,False,True,False,525.8,46.6,0.3335,0.0945,2.94
221,False,False,516.8,516.8,False,True,False,516.8,94.4,0.3576,0.1629,1.789
222,False,False,513.0,513.0,False,True,False,513.0,52.1,0.2598,0.0862,3.015
223,False,False,501.6,501.6,False,True,True,501.6,327.4,0.3007,0.0897,2.707
224,False,False,619.2,619.2,False,True,False,619.2,11.3,0.2658,0.0943,2.387
225,False,False,465.1,465.1,False,True,True,465.1,419.0,0.0717,0.0638,0.705
226,False,False,514.2,514.2,False,True,False,514.2,50.1,0.2266,0.0802,2.622
227,False,False,522.2,522.2,False,True,False,522.2,56.0,0.2974,0.0785,3.371
228,False,False,574.4,574.4,False,True,False,574.4,151.4,0.493,0.1175,3.42
229,False,False,566.9,566.9,False,True,False,566.9,47.6,0.2942,0.0788,0.898
230,False,False,532.9,532.9,False,True,False,532.9,106.6,0.389,0.0763,3.62
231,False,False,536.7,536.7,False,True,True,536.7,551.8,0.236,0.1488,1.658
232,False,False,336.6,336.6,False,True,False,336.6,167.0,0.0995,0.0996,0.579
233,False,False,578.2,578.2,False,True,False,578.2,99.1,0.2289,0.0872,2.062
234,False,False,573.2,573.2,False,True,False,573.2,66.8,0.2462,0.1528,1.176
235,True,True,533.7,533.7,False,False,True,,533.7,0.0722,0.1002,-1.626
236,False,False,573.2,573.2,False,True,False,573.2,44.1,0.1321,0.0856,1.467
237,False,False,552.8,552.8,False,True,False,552.8,16.6,0.3274,0.0814,3.178
238,False,False,528.1,528.1,False,True,False,528.1,67.7,0.3041,0.0807,3.305
239,False,False,544.0,544.0,False,True,False,544.0,74.2,0.3868,0.1177,2.99
240,False,False,544.2,544.2,False,True,False,544.2,72.3,0.1978,0.0822,1.474
241,False,False,519.7,519.7,False,True,False,519.7,69.4,0.2962,0.1038,2.626
242,False,False,531.2,531.2,False,True,False,531.2,31.2,0.2871,0.0916,2.933
243,False,False,491.7,491.7,False,True,False,491.7,98.2,0.327,0.0939,3.059
244,False,False,559.1,559.1,False,True,False,559.1,54.4,0.2893,0.1094,2.223
245,False,False,459.5,459.5,False,True,False,459.5,130.0,0.2992,0.1163,2.458
246,False,False,468.7,468.7,False,True,False,468.7,57.9,0.3722,0.1001,3.461
247,False,False,550.8,550.8,False,True,False,550.8,66.5,0.4118,0.131,2.957
248,False,False,509.9,509.9,False,True,False,509.9,37.9,0.4805,0.1026,3.292
249,False,False,507.1,507.1,False,True,True,507.1,420.6,0.1939,0.0671,2.878
250,False,False,516.9,516.9,False,True,True,516.9,453.2,0.1869,0.0712,2.419
251,False,False,522.6,522.6,False,True,False,522.6,132.1,0.2479,0.0895,2.24
252,False,False,560.3,560.3,False,True,False,560.3,85.2,0.1528,0.1034,1.134
253,False,False,524.8,524.8,False,True,False,524.8,60.1,0.2919,0.1124,1.859
254,False,False,504.9,504.9,False,True,False,504.9,60.5,0.3529,0.1261,2.58
255,False,False,544.7,544.7,False,True,False,544.7,40.4,0.2356,0.0962,2.621
256,False,False,494.0,494.0,False,True,False,494.0,108.2,0.337,0.125,2.339
257,False,False,560.7,560.7,False,True,False,560.7,57.8,0.4094,0.1347,2.626
258,False,False,533.2,533.2,False,True,True,533.2,501.5,0.3004,0.1193,2.545
259,False,False,499.0,499.0,False,True,False,499.0,70.0,0.1791,0.1066,1.142
260,False,False,551.4,551.4,False,True,False,551.4,47.4,0.3195,0.1272,2.105
