animal_id,recording_date,study_guess,n_beats,heart_rate_bpm,rr_mean_ms,rr_std_ms,r_amplitude_mv,qrs_duration_ms,j_wave_amplitude_mv,t_wave_amplitude_mv,qt_ms,qtc_ms,qtc_formula,qt_std_ms,qrs_std_ms,r_amplitude_std_mv,rr_cv,cluster_k2,cluster_k5,cluster_hier_k2,cluster_hier_k5,cluster_gmm_k2,cluster_gmm_k5
101,2024-11-01,acute,196,400.3010811550568,149.88717948717948,97.42243856431706,0.5730179813126389,6.0,0.14017499827308907,0.07102505760599559,65.62777777777778,53.60501911396353,Mitchell,18.87093196549738,4.302652729749464,0.367532948201255,0.6499717914343037,0,3,1,2,1,3
102,2024-11-01,acute,180,366.9285958319098,163.5195530726257,240.829963344977,2.466079864901526,6.0,0.9995538694091696,0.6051464385578076,64.525,50.45952610527955,Mitchell,19.02495878060643,2.249905163874866,3.4107903403195223,1.4727900047403784,1,1,2,5,0,2
105,2024-11-01,acute,291,450.91738364258316,133.06206896551726,59.21408238584801,0.29412741133553094,6.0,0.16835463719299718,0.05350172221700337,59.37238493723849,51.4703780947072,Mitchell,12.706753603706902,19.601645538456626,0.09298075163185866,0.4450109850703825,0,3,1,2,1,3
106,2024-11-01,acute,232,464.851086664878,129.07359307359306,27.88904638631516,0.8479056423887467,6.0,0.050681864381326845,0.05152018648387078,74.71875,65.76743403486954,Mitchell,20.419528239111045,4.2536262018210635,0.5934453271909969,0.21607089197876317,0,3,1,2,1,3
107,2024-11-01,acute,150,303.06112071595646,197.9798657718121,395.3307966514409,3.1318024807410274,6.0,0.7618837306073082,0.5215757679219233,68.47692307692307,48.66690466295007,Mitchell,19.631178880994458,6.064323194861079,3.3081312991703347,1.9968232381119595,1,1,2,5,0,2
108,2024-11-01,acute,231,460.8756637611462,130.18695652173912,19.055533743315692,0.48278300240355465,6.0,0.08409514947393494,0.003384472042309852,76.93362831858407,67.42678894437181,Mitchell,14.52476879521916,0.49168053532898043,0.04174705295808437,0.14637052937122566,0,0,1,2,1,4
112,2024-11-13,acute,87,313.7731833384007,191.22093023255815,264.7945885870911,3.2894363975809346,6.0,1.4034713238215197,1.978937772428991,58.69512195121951,42.44575822974237,Mitchell,21.487113005091825,1.0443647228907171,1.4692822698454455,1.384757349862562,1,1,2,5,0,2
115,2024-11-13,acute,408,454.90108416228907,131.8968058968059,716.7189878546185,1.7039917079584055,8.0,0.317648338550968,0.947552974559737,64.14285714285714,55.85102678372147,Mitchell,20.918742882558092,1.4127937336770602,0.5644836982117912,5.433937410246074,1,1,2,5,0,2
116,2024-11-14,acute,105,530.5220200646149,113.09615384615384,1.265825880825474,0.23805889723269485,6.0,0.04081546516418062,0.04849828835000017,80.47252747252747,75.66999825146087,Mitchell,4.6412178941419615,0.4910513632749223,0.025044859160663686,0.011192475055760017,0,0,1,3,1,4
117,2024-11-14,acute,114,336.1927902018149,178.46902654867256,171.3692270464806,0.7962058466685741,9.0,0.2848822863422729,0.2175885523067929,56.25301204819277,42.10797478007598,Mitchell,23.60024977828443,42.849351501124545,1.1901923997665314,0.9602183099247439,1,2,2,4,0,3
