animal_id,recording_date,source_file,window_source,window_start,window_end,rule_used,start_annotation,end_annotation,n_beats,heart_rate_bpm,rr_mean_ms,rr_std_ms,r_amplitude_mv,qrs_duration_ms,j_wave_amplitude_mv,t_wave_amplitude_mv,rt_interval_ms,qt_ms,qtc_ms,qt_std_ms,qrs_std_ms,r_amplitude_std_mv,rr_cv,annotated_window_HR,annotated_window_rr_std,overrode_inrange_annotation,status,reason
218,2024-12-14,2024_12_14_218.txt,annotated,24749,52449,A_same_*,#* ecg baseline,#* ecg baseline end,245,529.1,113.41,1.02,0.2705,5.0,0.0728,0.0527,71.0,74.82,70.26,1.6270534424426,0.4874369012404815,0.012372365790009592,0.009,529.0737595316396,1.015987361018553,False,OK,passed gate
219,2024-12-14,2024_12_14_219.txt,annotated,19449,46199,A_same_*,#* ecg baseline,#* ecg baseline end,250,558.9,107.35,4.79,0.3908,6.0,0.0585,0.0249,56.0,61.56,59.42,2.4943143202064384,0.3364946695729354,0.02378423215808734,0.0446,558.9225589225589,4.785985256723511,False,OK,passed gate
220,2024-12-14,2024_12_14_220.txt,annotated,60249,77699,A_same_*,#* ecg baseline,#* ecg baseline end,153,525.8,114.11,1.09,0.3213,6.0,0.0843,0.0149,71.0,74.62,69.85,6.226140745837363,0.4124979095538709,0.021286265105353957,0.0095,525.830258302583,1.0866918919535766,False,OK,passed gate
221,2024-12-17,2024_12_17_221.txt,annotated,55749,72199,A_same_*,#* ecg baseline,#* ecg baseline end,142,516.8,116.1,1.25,0.3499,6.0,0.0606,0.0062,70.0,66.39,61.62,16.052815552124002,0.5587296558854548,0.05095062571940369,0.0108,516.7990226023213,1.249599733280376,False,OK,passed gate
222,2024-12-17,2024_12_17_222.txt,annotated,24099,41899,A_same_*,#* ecg baseline,#* ecg baseline end,152,513.0,116.96,3.66,0.2495,6.0,0.0441,0.0324,73.0,76.78,71.0,8.133730900380899,0.49804988833968017,0.019448474530460357,0.0313,512.9947341600135,3.658562185161427,False,OK,passed gate
223,2024-12-17,2024_12_17_223.txt,annotated,32599,49899,A_same_*,#* ecg baseline,#* ecg baseline end,145,501.6,119.62,1.13,0.2834,5.0,0.0351,0.0212,75.0,73.25,66.97,12.801421631943223,0.46963537651505566,0.01975283142311624,0.0095,501.56739811912223,1.1335629823547675,False,OK,passed gate
224,2024-12-17,2024_12_17_224.txt,annotated,154449,173399,A_same_*,#* ecg baseline,#* ecg baseline end,196,619.2,96.9,3.04,0.2532,6.0,0.0776,0.0083,59.0,100.0,101.59,,0.2782990215993282,0.009120871062873435,0.0314,619.2114315956602,3.0426086863565547,False,OK,passed gate
225,2024-12-17,2024_12_17_225.txt,annotated,86099,104649,A_same_1,#1 ecg baseline,#1 ecg baseline end,144,465.1,128.99,27.27,0.0719,5.0,0.041,0.0044,45.0,90.48,79.66,13.657262796409857,0.7060464915194992,0.009192064804024755,0.2114,465.14149409085985,27.271069255881876,False,OK,passed gate
226,2024-12-17,2024_12_17_226.txt,annotated,13299,40499,A_same_*,#* ecg baseline,#* ecg baseline end,233,514.2,116.69,1.13,0.2219,6.0,0.0307,0.0445,72.0,76.7,71.01,2.6142477512430875,0.5181080118220263,0.018741642745280528,0.0097,514.1843971631206,1.1313233495653803,False,OK,passed gate
227,2024-12-17,2024_12_17_227.txt,annotated,13099,32849,A_same_*,#* ecg baseline,#* ecg baseline end,172,522.2,114.89,1.3,0.2934,6.0,0.0178,0.0382,80.0,83.77,78.15,2.470864967597484,0.5009215315662068,0.01469750323536531,0.0113,522.2171323866239,1.3018205875255096,False,OK,passed gate
