animal_id,PC1,PC2
101,3.189238844253547,-0.25770638290256065
102,13.302901723454594,0.37883979735056555
105,1.9971469779853894,2.266145076823116
106,2.231477214929942,1.2416546299009708
107,14.328370206963386,-1.3972137473217683
108,0.00862446645287276,-5.962267753330212
112,14.666955884961762,-1.9793289414780113
115,9.118412326050743,-2.9464706103277565
116,-1.2714774774293762,0.2007100873255898
117,7.385162554856907,3.909854186216152
119,-1.1306625626823505,-0.4650559507402012
122,-0.806950076090707,1.8929749644508909
123,-0.13700166198697092,0.6161787679518237
124,-0.46537087590443094,-1.9663572482965355
125,-0.4485865308581594,-0.6710308933729409
126,4.172671952751332,3.258767996351173
127,-0.6380759815233323,-1.0727090776216321
128,-1.0164276782376884,-2.23200992647001
129,-0.3288016775791047,-0.03826632855784627
130,-0.06306206521962715,2.3846825373539735
131,2.317942972091495,2.150938732530907
132,-1.1840310831878682,1.1771696753675311
133,-1.1309914446949045,-0.637674994246462
134,3.4807153055536824,1.5604789907084013
135,-0.907494008233467,2.09657517989818
136,-1.3793752018649414,-1.517662801483107
137,-1.3567678350278585,-1.3843740319583242
138,-1.3303540250080124,-0.5975236066682491
139,-1.4477250820917358,0.4340035204536224
140,-1.1257181232888198,0.34497876033028096
141,-0.10751671628610601,-0.3410551721588782
142,-0.7262601640861295,-2.570041946745381
143,-1.173899491524317,-0.6204494742637855
144,-0.9557673333836963,0.017884013838661946
145,-0.53496605783998,-2.157329256238896
146,0.8873648487052934,-2.5401170491654286
147,-1.493259409695174,-1.15027652964501
148,0.40891507387041515,-1.7975406867481845
149,0.5985952827870173,-1.470467522170177
150,-0.803581272422506,-1.7896000398413248
151,2.0544114313219657,0.8792791276149141
152,-0.5536558821351947,1.5194550894047254
153,-0.44209432186240605,-0.05898197096642639
154,-0.8874904364156515,0.8038089828802788
155,-0.798106080995907,0.3830259859531147
156,-0.9551878746119374,-2.179341434017725
157,-1.3189473717120084,1.1160673264521292
158,-0.672561943468924,0.8690606312539193
159,-0.3552279289904566,-0.4314030736244251
160,-0.6647152617028692,0.23829491791635773
201,-0.5125279160496885,-1.489448325605851
202,-0.7587379795977234,2.1132913680443735
203,-0.6027922599117759,-0.05241224246421186
204,-1.45578690373463,1.138097800853425
205,-0.6847951330057991,-3.6286512745036723
206,-0.8774527305230377,1.095779167868646
207,-0.44638521423271454,0.42089596868774076
208,-1.1950784582211271,0.17620310962067237
209,-0.6723085510577319,-1.5250685483150026
210,-2.3409584780224497,-2.920648444515223
211,-0.37193620800414123,-2.064463356279456
212,-0.6902457296710428,1.8980171620216673
213,-1.7045282757149964,-0.5687406241250835
214,-0.7993866012288762,-0.7546271081666897
215,-0.9873160205438684,0.2987367092604488
216,-1.225499023508422,-0.20915499032432647
217,-2.3405767896368483,-2.1614647400751528
218,-1.224483719925802,0.18413212486898356
219,-0.8008047971525338,0.5028702774188332
220,-1.0491862367461022,0.608768662199646
221,-0.46349689364645463,2.293741889942364
222,-0.8363065651286173,0.10839195117519936
223,-0.44305548100923703,0.7805212566451082
224,-2.4253595302016655,-1.8053959022817598
225,-0.30660646180733764,-3.5401332214136443
226,-1.015567359098471,0.06462720359288462
227,-1.4373310611212682,0.4527229188199599
228,-0.8267014699616929,1.3433483391186776
229,-1.3394099650723952,1.4552994687686078
230,-1.0785815133080727,-2.059341660542649
231,-0.5991097072029442,0.32289428953441185
232,2.0200076471408166,-1.6435718107357373
233,-0.97204622852016,1.5430775320105636
234,-1.8708294252832052,-0.7710806737147609
235,0.46584395273786644,3.0889044971735573
236,-1.2197768848611914,-0.014398504037357455
237,-1.117206612424128,0.7664730624428763
238,-0.9934185355021531,0.8548884117614549
239,-0.7335231647799253,1.6895580071022427
240,-0.7630438310794387,2.3327325947209956
241,-1.1969499288007135,-0.9915235303997418
242,-1.1187460507272329,0.48649122095143116
243,-1.081195894756751,-1.412325257909002
244,-0.815090394663562,1.9835378974887263
245,0.5380080261317205,0.22766968221737532
246,-0.3148342258705529,-0.07337596219771847
247,-0.9318637069076721,-0.09802708842862114
248,-0.8394777976171309,-2.395694247539825
249,-0.9367249818718109,-1.0496846485940632
250,-1.0818808172003958,-0.4390491731774588
251,-1.1501769419960075,-0.34073519843399963
252,-0.4840068271270162,1.7355703670088152
253,0.1146630723388066,3.484301798384373
254,-0.7007683419386417,0.45113142655149335
255,-1.2108392403544297,0.4279504203090309
256,-0.8783141782276775,0.8843470377655535
257,-0.8368221046122012,1.8729819206658698
258,-0.7905910205172153,0.6258902293814079
259,-0.5272359789315518,1.415850901628176
260,-0.5976426786787052,3.370747329809396
